"","x"
"117",9.69889995870525
"118",6.72551499626839
"119",8.33827234618981
"120",7.94717088056186
"121",8.35570612730639
"122",9.79191403711248
"123",7.93596996578709
"124",6.68551743837904
"125",5.78906658327836
"126",7.81674454345763
"127",6.06180419663653
"128",11.6322154283446
"129",7.16134988461108
"130",8.37724430697826
"131",12.2918637191349
"132",9.0673810129769
"133",5.97025014606838
"134",9.9035441902559
"135",10.266065063373
"136",9.79647483351633
"137",7.77081165048873
"138",6.18640722373659
"139",8.77671112232401
"140",6.30126679086811
"141",10.5911858135047
"142",7.78196011432313
"143",10.0446392941999
"144",8.92443176793657
"145",8.50236753093781
"146",8.98998296224481
"147",8.81390882067089
"148",6.49890940503087
"149",7.40811124352553
"150",6.05855562008933
"151",6.11866574488462
"152",8.6883454384933
"153",8.56052658270976
"154",7.43919492249943
"155",8.40090832077232
"156",8.40639693523146
"157",7.13332858409182
"158",6.93338827955116
"159",7.96832278280117
"160",7.05605755837646
"161",8.75849260599622
"162",8.7365693718286
"163",7.29641212972985
"164",5.78000467394838
"165",6.73588495010744
"166",7.83683920653209
"167",7.46241229871269
"168",7.72428732030493
"169",8.91215754207937
"170",10.8049823701661
"171",9.61428176320564
"172",9.00605371175114
"173",5.28097447899035
"174",8.14503177868206
"175",10.6653374474379
"176",5.80613814760483
"177",7.02098573398296
"178",6.49252118168521
"179",8.05051512585567
"180",7.32562664749725
"181",11.1094344418802
"182",9.78554876996809
"183",5.68250709562187
"184",5.41269598358308
"185",7.75918883956408
"186",6.22654711083694
"187",8.03958316899507
"188",8.99173794841763
"189",7.21951186528888
"190",8.45924885878448
"191",8.75660411200134
"192",6.65369293183047
"193",6.71623345115421
"194",5.94542706942503
"195",6.57457836474022
"196",7.45679672892298
"197",8.50615432534536
"198",5.81230732065229
"199",6.34435457496236
"200",5.83402972574633
"201",4.67909220546307
"202",6.20349423154241
"203",6.65315415852596
"204",6.27518507514671
"205",7.71044335936442
"206",5.50112317944335
"207",7.5403055404113
"208",7.85555094838492
"209",6.18814998108512
"210",7.58570407668931
"211",7.38943391009604
"212",6.52540608766056
"213",8.09348853990406
"214",6.50746716826126
"215",7.83739995450787
"216",5.88140319796147
"217",11.8835678114095
"218",8.04991104262101
"219",9.31275767952917
"220",10.6727591339355
"221",10.7635437548656
"222",8.06913581281147
"223",7.85774188671374
"224",9.71877860943076
"225",6.8709141195875
"226",8.37550733699987
"227",6.48672232374454
"228",10.6832919186181
"229",6.05570983977913
"230",8.99560745939413
"231",8.20593023808841
"232",12.9338491634267
"233",6.92538330959109
"234",5.83439516061769
"235",5.4632150423133
