"","x"
"885",10
"886",8
"887",14
"888",6
"889",10
"890",8
"891",10
"892",12
"893",12
"894",8
"895",8
"896",6
"897",12
"898",12
"899",10
"900",12
"901",12
"902",6
"903",12
"904",4
"905",12
"906",8
"907",12
"908",12
"909",8
"910",10
"911",12
"912",14
"913",8
"914",12
"915",14
"916",12
"917",8
"918",12
"919",10
"920",10
"921",12
"922",6
"923",12
"924",12
"925",12
"926",8
"927",10
"928",8
"929",14
"930",14
"931",10
"932",8
"933",14
"934",8
"935",12
"936",4
"937",8
"938",12
"939",6
"940",12
"941",12
"942",10
"943",10
"944",10
"945",6
"946",14
"947",10
"948",14
"949",10
"950",6
"951",12
"952",4
"953",8
"954",10
"955",10
"956",8
"957",12
"958",10
"959",8
"960",10
"961",10
"962",8
"963",12
"964",10
"965",6
"966",10
"967",4
"968",8
"969",12
"970",10
"971",10
"972",12
"973",12
"974",10
"975",12
"976",12
"977",14
"978",10
"979",12
"980",10
"981",12
"982",12
"983",10
"984",6
"985",8
"986",14
"987",10
"988",8
"989",8
"990",14
"991",8
"992",12
"993",10
"994",12
"995",10
"996",14
"997",10
"998",12
"999",4
"1000",8
"1001",10
"1002",8
"1003",10
"1004",10
"1005",10
"1006",8
"1007",10
"1008",14
"1009",10
"1010",8
"1011",8
"1012",10
"1013",14
"1014",10
"1015",6
"1016",12
"1017",6
"1018",10
"1019",14
"1020",12
"1021",12
"1022",12
"1023",6
"1024",14
"1025",10
"1026",10
"1027",12
"1028",12
"1029",12
"1030",10
"1031",6
"1032",12
"1033",14
"1034",12
"1035",10
"1036",12
"1037",12
"1038",10
"1039",12
"1040",12
"1041",8
"1042",12
"1043",8
"1044",10
"1045",12
"1046",12
"1047",12
"1048",12
"1049",10
"1050",10
"1051",8
"1052",8
"1053",12
"1054",12
"1055",12
"1056",10
"1057",6
"1058",6
"1059",12
"1060",8
"1061",8
"1062",8
"1063",6
"1064",8
"1065",10
"1066",14
"1067",10
"1068",10
"1069",10
"1070",6
"1071",6
"1072",14
"1073",8
"1074",12
"1075",8
"1076",12
"1077",10
"1078",14
"1079",8
"1080",6
"1081",10
"1082",10
"1083",12
"1084",8
"1085",10
"1086",10
"1087",8
"1088",12
"1089",8
"1090",8
"1091",8
"1092",10
"1093",12
"1094",4
"1095",14
"1096",10
"1097",6
"1098",10
"1099",6
"1100",10
"1101",14
"1102",12
"1103",8
"1104",12
"1105",14
"1106",10
"1107",8
"1108",10
"1109",6
"1110",12
"1111",12
"1112",12
"1113",10
"1114",6
"1115",8
"1116",10
"1117",14
"1118",14
"1119",10
"1120",12
"1121",6
"1122",8
"1123",12
"1124",8
"1125",12
"1126",8
"1127",8
"1128",8
"1129",12
"1130",8
"1131",12
"1132",12
"1133",10
"1134",10
"1135",10
"1136",10
"1137",12
"1138",12
"1139",12
"1140",10
"1141",6
"1142",8
"1143",14
"1144",8
"1145",12
"1146",8
"1147",10
"1148",6
"1149",8
"1150",12
"1151",10
"1152",14
"1153",10
"1154",10
"1155",12
"1156",12
"1157",6
"1158",10
"1159",10
"1160",12
"1161",10
"1162",8
"1163",14
"1164",12
"1165",8
"1166",10
"1167",8
"1168",10
"1169",12
"1170",10
"1171",12
"1172",6
"1173",12
"1174",10
"1175",10
"1176",8
"1177",14
"1178",12
"1179",8
"1180",6
"1181",10
"1182",12
"1183",8
"1184",8
"1185",10
"1186",8
"1187",10
"1188",14
"1189",12
"1190",12
"1191",12
"1192",10
"1193",8
"1194",8
"1195",8
"1196",8
"1197",12
"1198",14
"1199",12
"1200",10
"1201",8
"1202",8
"1203",12
"1204",14
"1205",12
"1206",10
"1207",6
"1208",10
"1209",10
"1210",12
"1211",6
"1212",10
"1213",12
"1214",8
"1215",10
"1216",12
"1217",8
"1218",12
"1219",12
"1220",10
"1221",6
"1222",12
"1223",10
"1224",8
"1225",10
"1226",8
"1227",12
"1228",10
"1229",10
"1230",12
"1231",12
"1232",10
"1233",8
"1234",10
"1235",12
"1236",6
"1237",10
"1238",12
"1239",12
"1240",8
"1241",8
"1242",8
"1243",8
"1244",8
"1245",12
"1246",10
"1247",10
"1248",6
"1249",8
"1250",6
"1251",12
"1252",12
"1253",6
"1254",8
"1255",4
"1256",14
"1257",14
"1258",6
"1259",8
"1260",8
"1261",12
"1262",12
"1263",10
"1264",10
"1265",12
"1266",8
"1267",10
"1268",10
