"","x"
"275",22050.5982405027
"276",33010.3805174962
"277",16862.7413485027
"278",12150.6051677192
"279",17611.8355181019
"280",24985.2173785856
"281",15808.231143475
"282",15863.3251287216
"283",23533.3109704655
"284",40681.2654007056
"285",25685.9390860653
"286",24597.9074562744
"287",19961.2198518341
"288",17913.7709578175
"289",11443.8736261923
"290",8446.89209606847
"291",43633.3414373898
"292",20382.3727540006
"293",40229.7828838001
"294",42888.8806806568
"295",24815.264734693
"296",28296.2969206597
"297",10618.6179298804
"298",22810.1522620003
"299",30687.7616566017
"300",19149.7692795059
"301",16429.8000061469
"302",15578.1118641993
"303",20716.6353064499
"304",20772.9474463223
"305",19238.2888542668
"306",25246.1998543723
"307",16735.4484853319
"308",17354.907770188
"309",22142.1527336926
"310",34568.4888940728
"311",84369.5444892177
"312",19166.0597131795
"313",20468.0003917518
"314",12584.5287854889
"315",12133.1955175013
"316",28099.6841519762
"317",15466.9013631293
"318",22506.6643487579
"319",18214.2114753112
"320",44251.0324897219
"321",17232.0750225002
"322",28648.7508927589
"323",20425.594906043
"324",18720.2424734426
"325",14625.0034750613
"326",23662.1775587672
"327",22977.2647906352
"328",10835.0235189628
"329",15932.930589523
"330",17040.2614951177
"331",32583.0172292964
"332",17182.109075293
"333",24051.2683536563
"334",28024.1451545422
"335",20420.904586866
"336",32579.8638597145
"337",30089.2841842826
"338",23334.3382472943
"339",20701.562931564
"340",21147.0143219054
"341",18255.159721943
"342",18839.9211811822
"343",19577.7419524571
"344",16313.8699380315
"345",20437.8424025362
"346",24203.7094069855
"347",14108.0271504644
"348",20148.1614446947
"349",22949.3155093836
"350",32430.210408122
"351",42726.8725826099
"352",21541.509581165
"353",22741.8481722254
"354",17185.4641429402
"355",22876.2725929821
"356",20433.513728133
"357",44407.4143691908
"358",21692.0957222789
"359",25446.6137798323
"360",36761.3068353024
"361",15721.1227524287
"362",21252.677409844
"363",20023.1609696201
"364",22948.9021065219
"365",20594.169319293
"366",18444.7187286183
"367",30971.1593479491
"368",18565.3513371124
